timestamp,latitude,longitude,sog,cog,heel,trim,Tack
2025-11-23T09:37:07.558-0500,28.383638500000000,-80.6405558,4.6,248.6,-10.2,5.3,S
2025-11-23T09:37:08.069-0500,28.383633000000000,-80.6405659,4.5,247.7,-2.4,6.6,S
2025-11-23T09:37:08.556-0500,28.383627099999998,-80.6405757,4.5,246.5,-3,7.5,S
2025-11-23T09:37:09.081-0500,28.383620600000000,-80.6405854,4.6,243.1,-3.6,4.2,S
2025-11-23T09:37:09.557-0500,28.383613799999999,-80.640595,4.6,241.5,-5.9,8.4,S
2025-11-23T09:37:10.056-0500,28.383606900000000,-80.6406041,4.5,241.9,-6.8,4.3,S
2025-11-23T09:37:10.557-0500,28.383599999999998,-80.6406136,4.6,241.4,-0.3,11,S
2025-11-23T09:37:11.061-0500,28.383592799999999,-80.6406227,4.7,241.5,-5.1,5.8,S
2025-11-23T09:37:11.556-0500,28.383585399999998,-80.6406322,4.8,241.7,-6.5,5.4,S
2025-11-23T09:37:12.062-0500,28.383578600000000,-80.6406421,4.8,240.3,-5.6,6.4,S
2025-11-23T09:37:12.544-0500,28.383571000000000,-80.6406513,4.8,239.3,-8,6.4,S
2025-11-23T09:37:13.069-0500,28.383563700000000,-80.6406609,4.8,239.9,-5.9,6.7,S
2025-11-23T09:37:13.560-0500,28.383555999999999,-80.6406705,4.8,238.5,-9,6.4,S
2025-11-23T09:37:14.071-0500,28.383548399999999,-80.6406804,5,239.3,-5.4,5.5,S
2025-11-23T09:37:14.556-0500,28.383540699999998,-80.6406899,4.9,237,-7,7.3,S
